model_id,model_name,converged,log_likelihood,minus_log_likelihood,aic,qaic,qaicc,deviance,n_parameters,param_1,param_2,param_3,lambda_mean,lambda_std,lambda_median,lambda_min,lambda_max,lambda_q25,lambda_q75,formula_phi,formula_p,formula_f,phi_(Intercept),phi_(Intercept)_estimate,p_(Intercept),p_(Intercept)_estimate,f_(Intercept),f_(Intercept)_estimate,parameter_names,n_phi_params,n_p_params,n_f_params,parameter_structure,strategy_used,fit_time,random_seed,data_hash,param_4,f_gender,f_gender_estimate,f_age,f_age_estimate,f_tier_history,f_tier_history_estimate,param_5,phi_gender,phi_gender_estimate,param_6,phi_age,phi_age_estimate,phi_tier_history,phi_tier_history_estimate,param_7,delta_aic,aic_weight,evidence_ratio,rank,cumulative_weight,substantial_support,some_support,little_support
10,φ(gender) p(1) f(age),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_age,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.006969,51,f0588040,-2.393468,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,6445.280273999999,0.0,inf,32,1.0,False,False,True
11,φ(gender) p(1) f(tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_tier_history,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.006434,52,f0588040,-2.393468,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,6445.280273999999,0.0,inf,33,1.0,False,False,True
18,φ(age) p(1) f(tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_tier_history,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.006927,59,f0588040,-2.393468,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,6445.280273999999,0.0,inf,34,1.0,False,False,True
17,φ(age) p(1) f(age),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_age,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.682317,58,f0588040,-2.393468,,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,6445.280273999999,0.0,inf,35,1.0,False,False,True
29,φ(gender + age) p(1) f(1),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,0.0,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender + age,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; phi_age; p_(Intercept); f_(Intercept),3,1,1,φ(3) p(1) f(1),hybrid_quick_refined,0.0129,70,f0588040,-0.937033,,,,,,,-2.393468,0.0,0.0,,0.0,0.0,,,,6445.280273999999,0.0,inf,36,1.0,False,False,True
16,φ(age) p(1) f(gender),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + gender,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_gender,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.00692,57,f0588040,-2.393468,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,6445.280273999999,0.0,inf,37,1.0,False,False,True
13,φ(gender) p(1) f(gender + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + gender + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_gender; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007,54,f0588040,-2.393468,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6447.280273999999,0.0,inf,38,1.0,False,False,True
12,φ(gender) p(1) f(gender + age),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + gender + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_gender; f_age,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.050554,53,f0588040,-2.393468,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,6447.280273999999,0.0,inf,39,1.0,False,False,True
32,φ(gender + age) p(1) f(tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,0.0,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender + age,~1,~1 + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; phi_age; p_(Intercept); f_(Intercept); f_tier_history,3,1,2,φ(3) p(1) f(2),hybrid_quick_refined,0.006766,73,f0588040,-0.937033,,,,,0.0,0.0,-2.393468,0.0,0.0,0.0,0.0,0.0,,,,6447.280273999999,0.0,inf,40,1.0,False,False,True
31,φ(gender + age) p(1) f(age),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,0.0,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender + age,~1,~1 + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; phi_age; p_(Intercept); f_(Intercept); f_age,3,1,2,φ(3) p(1) f(2),hybrid_quick_refined,0.006903,72,f0588040,-0.937033,,,0.0,0.0,,,-2.393468,0.0,0.0,0.0,0.0,0.0,,,,6447.280273999999,0.0,inf,41,1.0,False,False,True
30,φ(gender + age) p(1) f(gender),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,0.0,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender + age,~1,~1 + gender,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; phi_age; p_(Intercept); f_(Intercept); f_gender,3,1,2,φ(3) p(1) f(2),hybrid_quick_refined,0.013988,71,f0588040,-0.937033,0.0,0.0,,,,,-2.393468,0.0,0.0,0.0,0.0,0.0,,,,6447.280273999999,0.0,inf,42,1.0,False,False,True
14,φ(gender) p(1) f(age + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_age; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007114,55,f0588040,-2.393468,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6447.280273999999,0.0,inf,43,1.0,False,False,True
21,φ(age) p(1) f(age + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_age; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007164,62,f0588040,-2.393468,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,6447.280273999999,0.0,inf,44,1.0,False,False,True
20,φ(age) p(1) f(gender + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + gender + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_gender; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007113,61,f0588040,-2.393468,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,6447.280273999999,0.0,inf,45,1.0,False,False,True
19,φ(age) p(1) f(gender + age),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + gender + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_gender; f_age,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.052811,60,f0588040,-2.393468,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,6447.280273999999,0.0,inf,46,1.0,False,False,True
35,φ(gender + age) p(1) f(age + tier_history),True,-7292.18457,7292.18457,14598.369141,14598.369141,14598.369141,14584.369141,7,0.098559,0.0,0.0,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender + age,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; phi_age; p_(Intercept); f_(Intercept); f_age; f_tier_history,3,1,3,φ(3) p(1) f(3),hybrid_quick_refined,0.017578,76,f0588040,-0.937033,,,0.0,0.0,0.0,0.0,-2.393468,0.0,0.0,0.0,0.0,0.0,,,0.0,6449.280273999999,0.0,inf,47,1.0,False,False,True
34,φ(gender + age) p(1) f(gender + tier_history),True,-7292.18457,7292.18457,14598.369141,14598.369141,14598.369141,14584.369141,7,0.098559,0.0,0.0,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender + age,~1,~1 + gender + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; phi_age; p_(Intercept); f_(Intercept); f_gender; f_tier_history,3,1,3,φ(3) p(1) f(3),hybrid_quick_refined,0.010686,75,f0588040,-0.937033,0.0,0.0,,,0.0,0.0,-2.393468,0.0,0.0,0.0,0.0,0.0,,,0.0,6449.280273999999,0.0,inf,48,1.0,False,False,True
33,φ(gender + age) p(1) f(gender + age),True,-7292.18457,7292.18457,14598.369141,14598.369141,14598.369141,14584.369141,7,0.098559,0.0,0.0,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender + age,~1,~1 + gender + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; phi_age; p_(Intercept); f_(Intercept); f_gender; f_age,3,1,3,φ(3) p(1) f(3),hybrid_quick_refined,0.593084,74,f0588040,-0.937033,0.0,0.0,0.0,0.0,,,-2.393468,0.0,0.0,0.0,0.0,0.0,,,0.0,6449.280273999999,0.0,inf,49,1.0,False,False,True
