model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + age_2020,12596.734375,8,0.0,0.4223187905851971,True
phi~1 + gender + tier + age_2020_p~1_f~1 + tier + age_2020,12596.734375,8,0.0,0.4223187905851971,True
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier + age_2020,12598.734375,9,2.0,0.1553624006766817,True
phi~1 + tier + age_2020_p~1_f~1 + age_2020,12633.1484375,6,36.4140625,5.229103062144058e-09,False
phi~1 + gender + age_2020_p~1_f~1 + age_2020,12633.1484375,6,36.4140625,5.229103062144058e-09,False
phi~1 + tier + age_2020_p~1_f~1 + tier + age_2020,12635.1484375,7,38.4140625,1.923679512329434e-09,False
phi~1 + tier + age_2020_p~1_f~1 + gender + age_2020,12635.1484375,7,38.4140625,1.923679512329434e-09,False
phi~1 + gender + age_2020_p~1_f~1 + tier + age_2020,12635.1484375,7,38.4140625,1.923679512329434e-09,False
phi~1 + gender + age_2020_p~1_f~1 + gender + age_2020,12635.1484375,7,38.4140625,1.923679512329434e-09,False
phi~1 + age_2020_p~1_f~1 + age_2020,12675.36328125,5,78.62890625,3.561150713205818e-18,False
phi~1 + age_2020_p~1_f~1 + gender + age_2020,12677.36328125,6,80.62890625,1.3100741343014393e-18,False
phi~1 + age_2020_p~1_f~1 + tier + age_2020,12677.36328125,6,80.62890625,1.3100741343014393e-18,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier,12706.0068359375,8,109.2724609375,7.896361106224326e-25,False
phi~1 + gender + tier + age_2020_p~1_f~1,13017.990234375,6,421.255859375,1.4160963627435391e-92,False
phi~1 + gender + age_2020_p~1_f~1,13056.404296875,5,459.669921875,6.450377348162118e-101,False
phi~1 + tier + age_2020_p~1_f~1,13056.404296875,5,459.669921875,6.450377348162118e-101,False
phi~1 + gender + tier + age_2020_p~1_f~1 + tier,13062.82421875,7,466.08984375,2.603255528667472e-102,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender,13062.82421875,7,466.08984375,2.603255528667472e-102,False
phi~1 + age_2020_p~1_f~1,13098.6201171875,4,501.8857421875,4.3907247886675126e-110,False
phi~1 + gender + age_2020_p~1_f~1 + gender,13101.240234375,6,504.505859375,1.1846361957372139e-110,False
phi~1 + gender + age_2020_p~1_f~1 + tier,13101.240234375,6,504.505859375,1.1846361957372139e-110,False
phi~1 + tier + age_2020_p~1_f~1 + gender,13101.240234375,6,504.505859375,1.1846361957372139e-110,False
phi~1 + tier + age_2020_p~1_f~1 + tier,13101.240234375,6,504.505859375,1.1846361957372139e-110,False
phi~1 + age_2020_p~1_f~1 + gender,13143.455078125,5,546.720703125,8.067670465093588e-120,False
phi~1 + age_2020_p~1_f~1 + tier,13143.455078125,5,546.720703125,8.067670465093588e-120,False
phi~1 + tier + age_2020_p~1_f~1 + gender + tier,13150.1875,7,553.453125,2.7849750929905334e-121,False
phi~1 + gender + age_2020_p~1_f~1 + gender + tier,13150.1875,7,553.453125,2.7849750929905334e-121,False
phi~1 + age_2020_p~1_f~1 + gender + tier,13192.400390625,6,595.666015625,1.898491179257337e-130,False
phi~1 + gender + tier_p~1_f~1 + age_2020,16400.3359375,6,3803.6015625,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + age_2020,16402.3359375,7,3805.6015625,0.0,False
phi~1 + gender + tier_p~1_f~1 + tier + age_2020,16402.3359375,7,3805.6015625,0.0,False
