model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1 + gender + tier_p~1_f~1 + gender + tier + age_2020,16404.3359375,8,3807.6015625,0.0,False
phi~1 + gender_p~1_f~1 + age_2020,16763.509765625,5,4166.775390625,0.0,False
phi~1 + tier_p~1_f~1 + age_2020,16763.509765625,5,4166.775390625,0.0,False
phi~1 + gender_p~1_f~1 + gender + age_2020,16765.509765625,6,4168.775390625,0.0,False
phi~1 + gender_p~1_f~1 + tier + age_2020,16765.509765625,6,4168.775390625,0.0,False
phi~1 + tier_p~1_f~1 + tier + age_2020,16765.509765625,6,4168.775390625,0.0,False
phi~1 + tier_p~1_f~1 + gender + age_2020,16765.509765625,6,4168.775390625,0.0,False
phi~1 + gender + tier_p~1_f~1,16823.59375,5,4226.859375,0.0,False
phi~1 + gender + tier_p~1_f~1 + tier,16868.4296875,6,4271.6953125,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender,16868.4296875,6,4271.6953125,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + tier,16917.375,7,4320.640625,0.0,False
phi~1_p~1_f~1 + tier + age_2020,17153.40625,5,4556.671875,0.0,False
phi~1_p~1_f~1 + gender + age_2020,17153.40625,5,4556.671875,0.0,False
phi~1_p~1_f~1 + gender + tier + age_2020,17155.40625,6,4558.671875,0.0,False
phi~1 + gender_p~1_f~1,17186.765625,4,4590.03125,0.0,False
phi~1 + tier_p~1_f~1,17186.765625,4,4590.03125,0.0,False
phi~1 + tier_p~1_f~1 + tier,17231.599609375,5,4634.865234375,0.0,False
phi~1 + tier_p~1_f~1 + gender,17231.599609375,5,4634.865234375,0.0,False
phi~1 + gender_p~1_f~1 + tier,17231.599609375,5,4634.865234375,0.0,False
phi~1 + gender_p~1_f~1 + gender,17231.599609375,5,4634.865234375,0.0,False
phi~1 + gender_p~1_f~1 + gender + tier,17280.546875,6,4683.8125,0.0,False
phi~1 + tier_p~1_f~1 + gender + tier,17280.546875,6,4683.8125,0.0,False
phi~1_p~1_f~1,17574.6640625,3,4977.9296875,0.0,False
phi~1_p~1_f~1 + tier,17619.49609375,4,5022.76171875,0.0,False
phi~1_p~1_f~1 + gender,17619.49609375,4,5022.76171875,0.0,False
phi~1_p~1_f~1 + gender + tier,17668.4453125,5,5071.7109375,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1 + age_2020,20385.71875,7,7788.984375,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender + tier + age_2020,21065.001953125,8,8468.267578125,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + tier + age_2020,21065.001953125,8,8468.267578125,0.0,False
phi~1 + age_2020_p~1_f~1 + gender + tier + age_2020,21107.16796875,7,8510.43359375,0.0,False
phi~1_p~1_f~1 + age_2020,24788.474609375,4,12191.740234375,0.0,False
phi~1 + tier_p~1_f~1 + gender + tier + age_2020,25025.55078125,7,12428.81640625,0.0,False
phi~1 + gender_p~1_f~1 + gender + tier + age_2020,25025.55078125,7,12428.81640625,0.0,False
