model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1 + gender + tier + age_2020_p~1_f~1 + age_2020,1215109.5,8,0.0,0.6439142598879724,True
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + age_2020,1215111.5,9,2.0,0.23688281808991013,True
phi~1 + gender + tier + age_2020_p~1_f~1 + tier + age_2020,1215113.5,10,4.0,0.08714431874203257,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier + age_2020,1215115.5,11,6.0,0.03205860328008499,False
phi~1 + gender + age_2020_p~1_f~1 + age_2020,1218882.5,6,3773.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + age_2020,1218884.5,7,3775.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + age_2020,1218884.5,7,3775.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender + age_2020,1218886.5,8,3777.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + tier + age_2020,1218886.5,8,3777.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + tier + age_2020,1218888.5,9,3779.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + tier + age_2020,1218888.5,9,3779.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender + tier + age_2020,1218890.5,10,3781.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + tier,1222656.625,8,7547.125,0.0,False
phi~1 + age_2020_p~1_f~1 + gender + tier + age_2020,1223019.5,8,7910.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + tier,1227213.0,8,12103.5,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1,1256353.125,7,41243.625,0.0,False
phi~1 + gender + age_2020_p~1_f~1,1260126.75,5,45017.25,0.0,False
phi~1 + tier + age_2020_p~1_f~1,1260128.75,6,45019.25,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1 + tier,1260505.125,9,45395.625,0.0,False
