model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1 + age + tier_p~1_f~1 + gender + age,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + age_p~1_f~1 + gender + age + tier,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender + tier_p~1_f~1 + tier,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender + age + tier_p~1_f~1 + tier,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + gender + age + tier_p~1_f~1 + gender + age,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + age + tier_p~1_f~1 + age + tier,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + tier_p~1_f~1 + gender + age + tier,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + gender + tier_p~1_f~1 + age + tier,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + gender + tier_p~1_f~1 + gender + tier,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + gender + age_p~1_f~1 + gender + age + tier,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + age + tier_p~1_f~1 + gender + tier,2069703.125,9,12.0,0.0005492797012445228,False
phi~1 + age + tier_p~1_f~1 + gender + age + tier,2069705.125,10,14.0,0.00020206870954065184,False
phi~1 + gender + tier_p~1_f~1 + gender + age + tier,2069705.125,10,14.0,0.00020206870954065184,False
phi~1 + gender + age + tier_p~1_f~1 + age + tier,2069705.125,10,14.0,0.00020206870954065184,False
phi~1 + gender + age + tier_p~1_f~1 + gender + tier,2069705.125,10,14.0,0.00020206870954065184,False
phi~1 + gender + age + tier_p~1_f~1 + gender + age + tier,2069707.125,11,16.0,7.43369239440495e-05,False
