model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1_p~1_f~1,2069691.125,3,0.0,0.2215952471631278,True
phi~1_p~1_f~1 + gender,2069693.125,4,2.0,0.0815203356926191,True
phi~1_p~1_f~1 + age,2069693.125,4,2.0,0.0815203356926191,True
phi~1 + age_p~1_f~1,2069693.125,4,2.0,0.0815203356926191,True
phi~1 + gender_p~1_f~1,2069693.125,4,2.0,0.0815203356926191,True
phi~1 + tier_p~1_f~1,2069695.125,5,4.0,0.029989655538709102,False
phi~1 + gender + age_p~1_f~1,2069695.125,5,4.0,0.029989655538709102,False
phi~1 + gender_p~1_f~1 + age,2069695.125,5,4.0,0.029989655538709102,False
phi~1 + age_p~1_f~1 + gender,2069695.125,5,4.0,0.029989655538709102,False
phi~1 + gender_p~1_f~1 + gender,2069695.125,5,4.0,0.029989655538709102,False
phi~1_p~1_f~1 + gender + age,2069695.125,5,4.0,0.029989655538709102,False
phi~1_p~1_f~1 + tier,2069695.125,5,4.0,0.029989655538709102,False
phi~1 + age_p~1_f~1 + age,2069695.125,5,4.0,0.029989655538709102,False
phi~1 + gender + tier_p~1_f~1,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + gender + age_p~1_f~1 + gender,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + age + tier_p~1_f~1,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + tier_p~1_f~1 + gender,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + age_p~1_f~1 + gender + age,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + gender + age_p~1_f~1 + age,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + tier_p~1_f~1 + age,2069697.125,6,6.0,0.011032577720504354,False
phi~1_p~1_f~1 + age + tier,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + age_p~1_f~1 + tier,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + gender_p~1_f~1 + tier,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + gender_p~1_f~1 + gender + age,2069697.125,6,6.0,0.011032577720504354,False
phi~1_p~1_f~1 + gender + tier,2069697.125,6,6.0,0.011032577720504354,False
phi~1 + gender + age_p~1_f~1 + gender + age,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + gender + age_p~1_f~1 + tier,2069699.125,7,8.0,0.004058658526499646,False
phi~1_p~1_f~1 + gender + age + tier,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + gender + tier_p~1_f~1 + gender,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + gender + age + tier_p~1_f~1,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + tier_p~1_f~1 + gender + age,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + tier_p~1_f~1 + tier,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + age + tier_p~1_f~1 + age,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + gender_p~1_f~1 + gender + tier,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + gender_p~1_f~1 + age + tier,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + age_p~1_f~1 + age + tier,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + age_p~1_f~1 + gender + tier,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + age + tier_p~1_f~1 + gender,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + gender + tier_p~1_f~1 + age,2069699.125,7,8.0,0.004058658526499646,False
phi~1 + age + tier_p~1_f~1 + tier,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender + age + tier_p~1_f~1 + gender,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender + age + tier_p~1_f~1 + age,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender + tier_p~1_f~1 + gender + age,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender_p~1_f~1 + gender + age + tier,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender + age_p~1_f~1 + age + tier,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + gender + age_p~1_f~1 + gender + tier,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + tier_p~1_f~1 + age + tier,2069701.125,8,10.0,0.0014930970306343994,False
phi~1 + tier_p~1_f~1 + gender + tier,2069701.125,8,10.0,0.0014930970306343994,False
