model_name,log_likelihood,aic,n_parameters,strategy_used,success
phi~1_p~1_f~1,-8784.33203125,17574.6640625,3,scipy_lbfgs,True
phi~1_p~1_f~1 + gender,-8805.748046875,17619.49609375,4,scipy_lbfgs,True
phi~1_p~1_f~1 + tier,-8805.748046875,17619.49609375,4,scipy_lbfgs,True
phi~1_p~1_f~1 + age_2020,-12390.2373046875,24788.474609375,4,scipy_lbfgs,True
phi~1_p~1_f~1 + gender + tier,-8829.22265625,17668.4453125,5,scipy_lbfgs,True
phi~1_p~1_f~1 + gender + age_2020,-8571.703125,17153.40625,5,scipy_lbfgs,True
phi~1_p~1_f~1 + tier + age_2020,-8571.703125,17153.40625,5,scipy_lbfgs,True
phi~1_p~1_f~1 + gender + tier + age_2020,-8571.703125,17155.40625,6,scipy_lbfgs,True
phi~1 + gender_p~1_f~1,-8589.3828125,17186.765625,4,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender,-8610.7998046875,17231.599609375,5,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + tier,-8610.7998046875,17231.599609375,5,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + age_2020,-8376.7548828125,16763.509765625,5,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender + tier,-8634.2734375,17280.546875,6,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender + age_2020,-8376.7548828125,16765.509765625,6,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + tier + age_2020,-8376.7548828125,16765.509765625,6,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender + tier + age_2020,-12505.775390625,25025.55078125,7,scipy_lbfgs,True
phi~1 + tier_p~1_f~1,-8589.3828125,17186.765625,4,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + gender,-8610.7998046875,17231.599609375,5,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + tier,-8610.7998046875,17231.599609375,5,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + age_2020,-8376.7548828125,16763.509765625,5,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + gender + tier,-8634.2734375,17280.546875,6,scipy_lbfgs,True
