model_name,log_likelihood,aic,n_parameters,strategy_used,success,delta_aic,aic_weight,substantial_support
phi~1 + gender_p~1_f~1,-8927.9296875,17863.859375,4,scipy_lbfgs,True,0.0,0.9999999999953662,True
phi~1 + gender_p~1_f~1 + gender,-8953.02734375,17916.0546875,5,scipy_lbfgs,True,52.1953125,4.633742541712493e-12,False
phi~1_p~1_f~1,-9143.474609375,18292.94921875,3,scipy_lbfgs,True,429.08984375,6.673048930046586e-94,False
phi~1_p~1_f~1 + gender,-9168.572265625,18345.14453125,4,scipy_lbfgs,True,481.28515625,3.092119071022918e-105,False
