model_name,log_likelihood,aic,n_parameters,strategy_used,success,delta_aic,aic_weight,substantial_support
phi~1 + gender_p~1_f~1,-225.6040496826172,459.2080993652344,4,hybrid_quick_refined,True,0.0,0.8409094529678965,True
phi~1 + gender_p~1_f~1 + gender,-226.2917022705078,462.5834045410156,5,hybrid_quick_refined,True,3.37530517578125,0.1555288741717593,False
phi~1_p~1_f~1,-232.23800659179688,470.47601318359375,3,hybrid_quick_refined,True,11.267913818359375,0.0030057498743952895,False
phi~1_p~1_f~1 + gender,-232.9256591796875,473.851318359375,4,hybrid_quick_refined,True,14.643218994140625,0.0005559229859489442,False
