model_name,log_likelihood,aic,n_parameters,strategy_used,success,delta_aic,aic_weight,substantial_support
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + age_2020,-6290.3671875,12596.734375,8,scipy_lbfgs,True,0.0,0.4223187905851971,True
phi~1 + gender + tier + age_2020_p~1_f~1 + tier + age_2020,-6290.3671875,12596.734375,8,scipy_lbfgs,True,0.0,0.4223187905851971,True
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier + age_2020,-6290.3671875,12598.734375,9,scipy_lbfgs,True,2.0,0.1553624006766817,True
phi~1 + tier + age_2020_p~1_f~1 + age_2020,-6310.57421875,12633.1484375,6,scipy_lbfgs,True,36.4140625,5.229103062144058e-09,False
phi~1 + gender + age_2020_p~1_f~1 + age_2020,-6310.57421875,12633.1484375,6,scipy_lbfgs,True,36.4140625,5.229103062144058e-09,False
phi~1 + tier + age_2020_p~1_f~1 + tier + age_2020,-6310.57421875,12635.1484375,7,scipy_lbfgs,True,38.4140625,1.923679512329434e-09,False
phi~1 + tier + age_2020_p~1_f~1 + gender + age_2020,-6310.57421875,12635.1484375,7,scipy_lbfgs,True,38.4140625,1.923679512329434e-09,False
phi~1 + gender + age_2020_p~1_f~1 + tier + age_2020,-6310.57421875,12635.1484375,7,scipy_lbfgs,True,38.4140625,1.923679512329434e-09,False
phi~1 + gender + age_2020_p~1_f~1 + gender + age_2020,-6310.57421875,12635.1484375,7,scipy_lbfgs,True,38.4140625,1.923679512329434e-09,False
phi~1 + age_2020_p~1_f~1 + age_2020,-6332.681640625,12675.36328125,5,scipy_lbfgs,True,78.62890625,3.561150713205818e-18,False
phi~1 + age_2020_p~1_f~1 + gender + age_2020,-6332.681640625,12677.36328125,6,scipy_lbfgs,True,80.62890625,1.3100741343014393e-18,False
phi~1 + age_2020_p~1_f~1 + tier + age_2020,-6332.681640625,12677.36328125,6,scipy_lbfgs,True,80.62890625,1.3100741343014393e-18,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier,-6345.00341796875,12706.0068359375,8,scipy_lbfgs,True,109.2724609375,7.896361106224326e-25,False
phi~1 + gender + tier + age_2020_p~1_f~1,-6502.9951171875,13017.990234375,6,scipy_lbfgs,True,421.255859375,1.4160963627435391e-92,False
phi~1 + gender + age_2020_p~1_f~1,-6523.2021484375,13056.404296875,5,scipy_lbfgs,True,459.669921875,6.450377348162118e-101,False
